Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C2, C3, C5, CBYP1, CIN1",0603,8,100nF,C1591
C22,0603,1,100uF,
C4,0603,1,10uF,C19702
CIN2,0603,1,4.7uF,C107368 
"COUT1, CSTOR1",0603,2,22uF,C2762594
CREF1,0603,1,10nF,C1591
D1,0603,1,LED,C965807
J1,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16_Pin,C25503134
J10,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,P-MFC,C2683165
"J13, J3, J4",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,C3332353
J19,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,C5372032
J2,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14_Pin,C25503133
J9,TAOGLAS_EMPCB.SMAFSTJ.B.HT,1,EMPCB.SMAFSTJ.B.HT,
LBOOST1,IND_LPS4018-223MRC,1,22uH,C5441602
LBUCK1,1008,1,10uH,C237599 
"R1, R6, R7",0603,3,0R,C95177
R2,0603,1,100K,C14675
R3,0603,1,680R,C2907062
"R4, R5",0603,2,4k7,C99782
ROK1,0603,1,4.22M,C3009313
"ROK1B1, ROK2B1, ROK3B1, ROUT1B1, ROUT2B1, ROV1B1, ROV2B1",0603,7,R,
ROK2,0603,1,7.87M,C482913
ROK3,0603,1,1.1M,C2930138
ROUT1,0603,1,4.64M,C2079741
ROUT2,0603,1,8.25M,C166757
ROV1,0603,1,7.15M,C422907
ROV2,0603,1,8.66M,C4087386
"SW1, SW2, SW3",SW_B3U-1000P,3,B3U-1000P,C231329 
U1,RAK3172,1,RAK3172-xx-8-SM-xI,C19723905
U2,QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,1,BQ25570,C506250
U3,PSON65P250X250X100-8N,1,BME280,C92489 
U5,LGA-12_2x2mm_P0.5mm,1,LIS2HH12,C221446
