Designator,Mid X,Mid Y,Rotation,Layer
C1,88.525,-113.36,270.0,top
C2,87.6,-79.02,180.0,top
C3,91.145,-133.98,180.0,top
C4,65.355,-135.075,270.0,top
C5,62.715,-135.075,270.0,top
CBYP1,87.71,-110.52,0.0,top
CIN1,72.74,-114.77,90.0,top
CIN2,75.46,-114.77,90.0,top
COUT1,91.6,-117.26,270.0,top
CREF1,73.975,-118.18,180.0,top
CSTOR1,87.655,-107.69,0.0,top
D1,97.285,-136.57,0.0,top
J1,57.99,-98.8,90.0,top
J10,80.23,-136.65,90.0,top
J13,58.62,-130.87,0.0,top
J19,80.58,-109.165,0.0,top
J2,100.64,-96.26,90.0,top
J3,100.3,-119.455,90.0,top
J4,68.55,-120.68,0.0,top
LBOOST1,73.675,-110.38,0.0,top
LBUCK1,87.515,-117.76,0.0,top
R1,75.55,-83.28,90.0,top
R2,92.1,-77.65,180.0,top
R3,97.245,-134.02,0.0,top
R4,60.07,-135.115,270.0,top
R5,57.56,-135.115,270.0,top
R7,64.15,-132.38,180.0,top
ROK1,84.25,-126.2,270.0,top
ROK2,78.37,-126.2,270.0,top
ROK3,72.45,-126.2,270.0,top
ROUT1,90.01,-126.2,270.0,top
ROUT2,95.63,-126.2,270.0,top
ROV1,60.84,-126.2,270.0,top
ROV2,66.66,-126.2,270.0,top
SW1,95.2025,-75.01,0.0,top
SW2,87.14,-75.0,180.0,top
SW3,91.145,-139.41,0.0,top
U1,80.83,-95.48,270.0,top
U2,80.1775,-115.98,90.0,top
U5,60.9875,-140.1,270.0,top
